time,views
1723024929.677952,16476577.0
1723024939.6974769,16476667.0
1723024949.6617072,16476829.0
1723024959.6417572,16476946.0
1723024969.68633,16477099.0
1723024979.671456,16477324.0
1723024989.6631746,16477504.0
1723024999.7306225,16477621.0
1723025009.6619098,16477801.0
1723025019.6682782,16477990.0
1723025029.6477406,16478125.0
1723025039.6801164,16478305.0
1723025049.6714578,16478485.0
1723025059.702924,16478611.0
1723025069.67482,16478782.0
1723025079.643385,16478971.0
1723025089.631667,16479124.0
1723025099.675037,16479295.0
1723025109.6373677,16479520.0
1723025119.6874518,16479601.0
1723025129.720442,16479772.0
1723025139.6555402,16480006.0
1723025149.6497753,16480033.0
1723025159.7425559,16480258.0
1723025169.6365867,16480384.0
1723025179.6911173,16480519.0
1723025189.6905463,16480744.0
1723025199.6746457,16480924.0
1723025209.6325774,16481059.0
1723025219.639738,16481239.0
1723025229.646809,16481437.0
1723025239.6552494,16481581.0
1723025249.7040834,16481752.0
1723025259.67962,16481932.0
1723025269.6680763,16482076.0
1723025279.7052402,16482247.0
1723025289.6611583,16482463.0
1723025299.6967216,16482553.0
1723025309.6727118,16482724.0
1723025319.6881428,16482958.0
1723025329.6544616,16483048.0
1723025339.6769598,16483219.0
1723025349.682246,16483444.0
1723025359.6522083,16483462.0
1723025369.6595972,16483687.0
1723025379.667398,16483804.0
1723025389.7238967,16483957.0
1723025399.6876767,16484182.0
1723025409.6536872,16484344.0
1723025419.6884463,16484479.0
1723025429.6538773,16484659.0
1723025439.6834571,16484839.0
1723025449.733,16484983.0
1723025459.6777349,16485154.0
1723025470.2002988,16485343.0
1723025479.6586413,16485460.0
1723025489.6736066,16485631.0
1723025499.6554558,16485865.0
1723025509.6983528,16485955.0
1723025519.6730738,16486126.0
1723025529.6657147,16486225.0
1723025539.6487248,16486369.0
1723025549.6763499,16486594.0
1723025559.6566315,16486711.0
1723025569.664764,16486873.0
1723025579.6754112,16487098.0
1723025589.6369672,16487260.0
1723025599.6572647,16487395.0
1723025609.6601014,16487575.0
1723025619.6813653,16487755.0
1723025629.6355414,16487899.0
1723025639.660795,16488070.0
1723025649.6655738,16488259.0
1723025659.6903539,16488376.0
1723025669.665211,16488547.0
1723025679.648896,16488745.0
1723025689.6606727,16488880.0
1723025699.6920404,16489051.0
1723025709.6886692,16489276.0
1723025719.6868882,16489294.0
1723025729.6607914,16489519.0
1723025739.6638002,16489627.0
1723025749.6423633,16489789.0
1723025759.6695848,16490014.0
1723025769.7276893,16490176.0
1723025780.1256335,16490266.0
1723025789.642638,16490491.0
1723025799.6258345,16490671.0
1723025809.664896,16490815.0
1723025819.6827328,16490986.0
1723025829.6774604,16491166.0
1723025839.6782353,16491292.0
1723025849.6843348,16491463.0
1723025859.6077452,16491643.0
1723025869.6422443,16491787.0
1723025879.672622,16491958.0
1723025889.6594837,16492183.0
1723025899.6951056,16492264.0
1723025909.759961,16492435.0
1723025919.6318731,16492507.0
1723025929.658213,16492696.0
1723025939.6725004,16492921.0
1723025949.6434925,16493038.0
1723025959.6572034,16493182.0
1723025969.713759,16493407.0
1723025979.6611302,16493569.0
1723025989.6354082,16493677.0
1723025999.6553807,16493902.0
1723026009.6573677,16494082.0
1723026019.6501167,16494199.0
1723026029.6776125,16494379.0
1723026039.645643,16494559.0
1723026049.6724482,16494703.0
1723026059.65911,16494874.0
1723026069.651774,16495117.0
1723026079.680981,16495207.0
1723026089.6859992,16495378.0
1723026099.659706,16495603.0
1723026109.646822,16495639.0
1723026119.6387608,16495864.0
1723026129.6981218,16495990.0
1723026139.655187,16496134.0
1723026149.6761093,16496359.0
1723026159.6632502,16496476.0
1723026169.6668172,16496629.0
1723026179.6552222,16496854.0
1723026189.6512074,16497034.0
1723026199.6570323,16497151.0
1723026209.6615176,16497331.0
1723026219.657622,16497520.0
1723026229.6354604,16497664.0
1723026239.643994,16497835.0
1723026249.6687133,16498015.0
1723026259.6396408,16498141.0
1723026269.6867428,16498312.0
1723026279.6291246,16498537.0
1723026289.7146387,16498636.0
1723026299.7111354,16498807.0
1723026309.6598465,16498879.0
1723026319.6590421,16499050.0
1723026329.6605263,16499284.0
1723026339.6560624,16499392.0
1723026349.6755078,16499554.0
1723026359.6794121,16499788.0
1723026369.6610258,16499905.0
1723026379.6958032,16500040.0
1723026389.9619942,16500265.0
1723026399.6675823,16500445.0
1723026409.618275,16500580.0
1723026419.6572053,16500760.0
1723026429.6755702,16500931.0
1723026439.6303434,16501066.0
1723026449.6465042,16501237.0
1723026459.6447637,16501435.0
1723026469.6682193,16501579.0
1723026479.679955,16501750.0
1723026489.651536,16501966.0
1723026499.687859,16502056.0
1723026509.659133,16502227.0
1723026519.6655061,16502299.0
1723026529.724511,16502488.0
1723026539.7200909,16502713.0
1723026549.6802742,16502821.0
1723026559.7047422,16502965.0
1723026569.6711729,16503190.0
1723026579.6556666,16503307.0
1723026589.65556,16503460.0
1723026599.679642,16503685.0
1723026609.6747673,16503856.0
1723026619.6648676,16503982.0
1723026629.7002287,16504162.0
1723026639.6761987,16504342.0
1723026649.6476574,16504486.0
1723026659.6869106,16504657.0
1723026669.6845856,16504846.0
1723026679.6371608,16504963.0
1723026689.6584923,16505152.0
1723026700.234881,16505377.0
1723026709.6591601,16505413.0
1723026719.6569011,16505638.0
1723026729.6789792,16505719.0
1723026739.6359212,16505890.0
1723026749.6746163,16506115.0
1723026759.6496887,16506223.0
1723026769.6035962,16506385.0
1723026779.640509,16506610.0
1723026789.6924973,16506718.0
1723026799.7063286,16506871.0
1723026809.639716,16507096.0
1723026819.6605713,16507258.0
1723026829.6802206,16507411.0
1723026839.6862144,16507591.0
1723026849.6692636,16507771.0
1723026859.6498067,16507897.0
1723026869.647865,16508068.0
1723026879.6489441,16508257.0
